date_removed,ticker,name,sh_class,permno,date_added
2000-07-27,RAD,RiteAid,,46922,2000-01-01
2000-12-05,GRA,WR Grace,,85908,2000-01-01
2000-12-05,BS,Bethlehem Steel,,10786,2000-01-01
2000-12-05,CCK,Crown Holdings,,17726,2000-01-01
2003-09-25,QTRN,Quintiles Transnational,,80470,2000-01-01
2005-07-01,GLK,Great Lakes Chemical,,32379,2000-01-01
2005-11-18,T,AT&T Corporation,,10401,2000-01-01
2006-06-02,ABS,Albertsons,,50032,2000-01-01
2007-01-10,SBL,Symbol Technologies,,73940,2000-12-05
2007-03-30,TSG,Sabre Corporation CLASS A,A,84036,2000-01-01
2007-08-24,KSE,KeySpan,,24360,2000-01-01
2007-09-26,FDC,First Data,,77546,2000-01-01
2007-10-01,NCR,NCR Corporation,,84372,2000-01-01
2007-10-02,SLR,Solectron,,75857,2000-01-01
2007-10-26,AV,Avaya,,88587,2000-01-01
2007-12-13,DJ,Dow Jones,,58990,2000-01-01
2007-12-20,TRB,Tribune Media,,65787,2000-01-01
2008-06-10,ABK,Ambac Financial,,76757,2000-12-05
2008-09-12,FRE,Freddie Mac,,75789,2000-01-01
2008-09-12,FNM,Fannie Mae,,51043,2000-01-01
2008-09-16,LEH,Lehman Brothers,,80599,2000-01-01
2008-12-31,WB,Wachovia Bank,,36469,2000-01-01
2009-03-03,JNY,Jones Apparel Group,,76638,2000-01-01
2009-03-03,ACAS,American Capital,,85271,2000-01-01
2009-11-03,SGP,Schering-Plough,,25013,2000-01-01
2009-12-18,CIEN,Ciena,,84519,2000-01-01
2009-12-18,DYN,Dynegy CLASS A,A,90352,2000-01-01
2009-12-18,CVG,Convergys,,86305,2000-01-01
2009-12-18,MBI,MBIA Inc.,,75175,2000-01-01
2009-12-18,KBH,KB Home,,70092,2000-01-01
2010-02-26,RX,IMS Health,,84020,2000-01-01
2010-04-29,BJS,BJ Services,,76240,2000-01-01
2010-06-28,XTO,XTO Energy,,79212,2000-01-01
2010-06-30,STR,Questar,,27756,2000-01-01
2010-07-14,MIL,Millipore,,54181,2000-01-01
2010-08-26,SII,Smith International,,45794,2000-01-01
2010-11-17,PTV,Pactiv,,87292,2000-01-01
2010-12-17,KG,King Pharmaceuticals,,86176,2000-01-01
2010-12-17,ODP,Office Depot,,75573,2000-01-01
2010-12-17,NYT,The New York Times Company CLASS A,A,47466,2000-01-01
2010-12-17,EK,Eastman Kodak,,11754,2000-01-01
2011-02-25,AYE,Allegheny Energy,,10137,2000-12-05
2011-02-28,MFE,McAfee,,77976,2000-01-01
2011-03-31,Q,Qwest Communications,,85032,2000-01-01
2011-04-01,GENZ,Genzyme,,10324,2000-01-01
2011-04-27,NOVL,Novell,,90609,2000-01-01
2011-06-01,MEE,Massey Energy Company,,26382,2000-01-01
2011-06-30,RSH,RadioShack,,15560,2000-01-01
2011-07-05,MI,Marshall & Ilsley,,51706,2000-01-01
2011-09-23,NSM,National Semiconductor,,51377,2000-01-01
2011-10-14,CEPH,Cephalon,,76625,2000-01-01
2011-10-31,ITT,ITT,,12570,2000-01-01
2011-11-18,JNS,Janus Capital Group,,88313,2000-01-01
2011-12-12,GAS,Nicor Gas,,48274,2011-12-12
2011-12-16,WFR,MEMC Electronic Materials,,81776,2000-01-01
2011-12-16,MWW,Monster Worldwide,,84342,2000-01-01
2011-12-16,AKS,AK Steel,,80303,2000-01-01
2011-12-20,TLAB,Tellabs,,75257,2000-01-01
2011-12-31,CPWR,Compuware,,78139,2000-01-01
2012-03-13,CEG,Constellation Energy Group,,24221,2000-01-01
2012-04-03,MHS,Medco Health Solutions,,89813,2000-01-01
2012-04-23,SVU,Supervalu,,44951,2000-01-01
2012-05-17,EP,El Paso Corporation,,77481,2000-01-01
2012-05-21,MMI,Motorola Mobility,,12456,2000-01-01
2012-06-05,NVLS,Novellus Systems,,12067,2000-01-01
2012-06-28,GR,Goodrich Corporation,,12140,2000-01-01
2012-06-29,SLE,Sara Lee Corporation,,22840,2000-01-01
2012-07-02,PGN,Progress Energy,,23114,2000-01-01
2012-09-05,SHLD,Sears Holdings,,89757,2000-01-01
2012-10-01,LXK,Lexmark CLASS A,A,82643,2000-01-01
2012-10-01,DV,DeVry,,76708,2000-01-01
2012-10-02,ANR,Alpha Natural Resources,,90547,2011-06-01
2012-10-05,SUN,Sunoco,,14656,2000-01-01
2012-12-03,CBE,Cooper Industries,,21979,2011-11-18
2012-12-11,RRD,RR Donnelley,,38682,2000-01-01
2012-12-21,TIE,Titanium Metals,,83699,2000-01-01
2012-12-31,FII,Federated Investors CLASS B,B,86102,2000-01-01
2013-02-15,BIG,Big Lots,,67467,2000-01-01
2013-05-08,CVH,Coventry Health Care,,76619,2000-01-01
2013-05-23,DF,Dean Foods,,83421,2000-01-01
2013-06-06,HNZ,Heinz,,23077,2000-01-01
2013-06-21,FHN,First Horizon,,36397,2000-01-01
2013-06-28,APOL,Apollo Education Group CLASS A,A,81138,2000-01-01
2013-07-08,S,Sprint Nextel,,39087,2000-01-01
2013-09-10,BMC,BMC Software,,11976,2000-01-01
2013-10-29,DELL,Dell,,11081,2000-01-01
2013-11-13,NYX,NYSE Euronext,,91143,2000-01-01
2013-12-02,JCP,JCPenney,,18403,2000-01-01
