Ticker,Name,Sector,Asset class,Weight,CUSIP,ISIN,SEDOL
AAPL,APPLE INC,Information Technology,Equity,6.68,37833100,US0378331005,2046251
MSFT,MICROSOFT CORP,Information Technology,Equity,5.3,594918104,US5949181045,2588173
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,4.38,23135106,US0231351067,2000019
FB,FACEBOOK CLASS A INC,Communication,Equity,2.07,30303M102,US30303M1027,B7TL820
TSLA,TESLA INC,Consumer Discretionary,Equity,1.69,88160R101,US88160R1014,B616C79
GOOGL,ALPHABET INC CLASS A,Communication,Equity,1.66,02079K305,US02079K3059,BYVY8G0
GOOG,ALPHABET INC CLASS C,Communication,Equity,1.6,02079K107,US02079K1079,BYY88Y7
BRK,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,1.42,84670702,US0846707026,2073390
JNJ,JOHNSON & JOHNSON,Health Care,Equity,1.31,478160104,US4781601046,2475833
JPM,JPMORGAN CHASE & CO,Financials,Equity,1.22,46625H100,US46625H1005,2190385
V,VISA INC CLASS A,Information Technology,Equity,1.17,92826C839,US92826C8394,B2PZN04
PG,PROCTER & GAMBLE,Consumer Staples,Equity,1.09,742718109,US7427181091,2704407
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,1.05,91324P102,US91324P1021,2917766
DIS,WALT DISNEY,Communication,Equity,1.03,254687106,US2546871060,2270726
NVDA,NVIDIA CORP,Information Technology,Equity,1.02,67066G104,US67066G1040,2379504
MA,MASTERCARD INC CLASS A,Information Technology,Equity,0.99,57636Q104,US57636Q1040,B121557
HD,HOME DEPOT INC,Consumer Discretionary,Equity,0.9,437076102,US4370761029,2434209
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,0.86,70450Y103,US70450Y1038,BYW36M8
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,0.77,92343V104,US92343V1044,2090571
ADBE,ADOBE INC,Information Technology,Equity,0.76,00724F101,US00724F1012,2008154
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.75,20030N101,US20030N1019,2044545
NFLX,NETFLIX INC,Communication,Equity,0.75,64110L106,US64110L1061,2857817
BAC,BANK OF AMERICA CORP,Financials,Equity,0.73,60505104,US0605051046,2295677
KO,COCA-COLA,Consumer Staples,Equity,0.67,191216100,US1912161007,2206657
MRK,MERCK & CO INC,Health Care,Equity,0.65,58933Y105,US58933Y1055,2778844
PEP,PEPSICO INC,Consumer Staples,Equity,0.65,713448108,US7134481081,2681511
T,AT&T INC,Communication,Equity,0.65,00206R102,US00206R1023,2831811
PFE,PFIZER INC,Health Care,Equity,0.64,717081103,US7170811035,2684703
INTC,INTEL CORPORATION CORP,Information Technology,Equity,0.64,458140100,US4581401001,2463247
CRM,SALESFORCE.COM INC,Information Technology,Equity,0.64,79466L302,US79466L3024,2310525
WMT,WALMART INC,Consumer Staples,Equity,0.63,931142103,US9311421039,2936921
ABT,ABBOTT LABORATORIES,Health Care,Equity,0.61,2824100,US0028241000,2002305
ABBV,ABBVIE INC,Health Care,Equity,0.6,00287Y109,US00287Y1091,B92SR70
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,0.6,17275R102,US17275R1023,2198163
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,0.58,883556102,US8835561023,2886907
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,0.56,654106103,US6541061031,2640147
AVGO,BROADCOM INC,Information Technology,Equity,0.56,11135F101,US11135F1012,BDZ78H9
XOM,EXXON MOBIL CORP,Energy,Equity,0.55,30231G102,US30231G1022,2326618
QCOM,QUALCOMM INC,Information Technology,Equity,0.54,747525103,US7475251036,2714923
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,0.52,22160K105,US22160K1051,2701271
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,0.52,G1151C101,IE00B4BNMY34,B4BNMY3
CVX,CHEVRON CORP,Energy,Equity,0.51,166764100,US1667641005,2838555
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,0.5,580135101,US5801351017,2550707
MDT,MEDTRONIC PLC,Health Care,Equity,0.5,G5960L103,IE00BTN1Y115,BTN1Y11
NEE,NEXTERA ENERGY INC,Utilities,Equity,0.48,65339F101,US65339F1012,2328915
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,0.47,882508104,US8825081040,2885409
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.47,438516106,US4385161066,2020459
DHR,DANAHER CORP,Health Care,Equity,0.44,235851102,US2358511028,2250870
UNP,UNION PACIFIC CORP,Industrials,Equity,0.44,907818108,US9078181081,2914734
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,0.44,110122108,US1101221083,2126335
LIN,LINDE PLC,Materials,Equity,0.44,G5494J103,IE00BZ12WP82,BZ12WP8
LLY,ELI LILLY,Health Care,Equity,0.42,532457108,US5324571083,2516152
AMGN,AMGEN INC,Health Care,Equity,0.42,31162100,US0311621009,2023607
